@relation InstanceResultListener

@attribute Key_Dataset {all-data-pacman,filter-data-pacman-manual1,filter-data-pacman-manual2}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.rules.ZeroR,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 9 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,48055541465867954,-3080186098777067172,8121455039782598361,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 81\nSize of the tree: 158\n','Number of leaves: 80\nSize of the tree: 156\n','Number of leaves: 79\nSize of the tree: 154\n','Number of leaves: 88\nSize of the tree: 172\n','Number of leaves: 74\nSize of the tree: 144\n','Number of leaves: 82\nSize of the tree: 160\n','Number of leaves: 76\nSize of the tree: 148\n','Number of leaves: 77\nSize of the tree: 150\n','Number of leaves: 87\nSize of the tree: 170\n','Number of leaves: 71\nSize of the tree: 138\n','Number of leaves: 75\nSize of the tree: 146\n','Number of leaves: 78\nSize of the tree: 152\n','Number of leaves: 69\nSize of the tree: 134\n','Number of leaves: 84\nSize of the tree: 164\n','Number of leaves: 70\nSize of the tree: 136\n','Number of leaves: 72\nSize of the tree: 140\n','Number of leaves: 66\nSize of the tree: 128\n','Number of leaves: 73\nSize of the tree: 142\n','Number of leaves: 86\nSize of the tree: 168\n','Number of leaves: 83\nSize of the tree: 162\n','Number of leaves: 90\nSize of the tree: 161\n','Number of leaves: 115\nSize of the tree: 208\n','Number of leaves: 76\nSize of the tree: 139\n','Number of leaves: 92\nSize of the tree: 165\n','Number of leaves: 91\nSize of the tree: 163\n','Number of leaves: 98\nSize of the tree: 186\n','Number of leaves: 100\nSize of the tree: 178\n','Number of leaves: 99\nSize of the tree: 182\n','Number of leaves: 96\nSize of the tree: 188\n','Number of leaves: 90\nSize of the tree: 164\n','Number of leaves: 107\nSize of the tree: 192\n','Number of leaves: 98\nSize of the tree: 177\n','Number of leaves: 98\nSize of the tree: 180\n','Number of leaves: 100\nSize of the tree: 187\n','Number of leaves: 101\nSize of the tree: 186\n','Number of leaves: 110\nSize of the tree: 198\n','Number of leaves: 97\nSize of the tree: 169\n','Number of leaves: 103\nSize of the tree: 190\n','Number of leaves: 102\nSize of the tree: 182\n','Number of leaves: 96\nSize of the tree: 182\n','Number of leaves: 95\nSize of the tree: 171\n','Number of leaves: 96\nSize of the tree: 173\n','Number of leaves: 91\nSize of the tree: 169\n','Number of leaves: 105\nSize of the tree: 206\n','Number of leaves: 94\nSize of the tree: 184\n','Number of leaves: 104\nSize of the tree: 189\n','Number of leaves: 94\nSize of the tree: 169\n','Number of leaves: 88\nSize of the tree: 160\n','Number of leaves: 93\nSize of the tree: 173\n','Number of leaves: 111\nSize of the tree: 200\n','Number of leaves: 89\nSize of the tree: 156\n','Number of leaves: 87\nSize of the tree: 155\n','Number of leaves: 103\nSize of the tree: 187\n','Number of leaves: 106\nSize of the tree: 190\n','Number of leaves: 100\nSize of the tree: 175\n','Number of leaves: 100\nSize of the tree: 181\n','Number of leaves: 83\nSize of the tree: 153\n','Number of leaves: 85\nSize of the tree: 154\n','Number of leaves: 108\nSize of the tree: 197\n','Number of leaves: 89\nSize of the tree: 159\n','Number of leaves: 105\nSize of the tree: 191\n','Number of leaves: 99\nSize of the tree: 194\n','Number of leaves: 78\nSize of the tree: 143\n','Number of leaves: 100\nSize of the tree: 184\n','Number of leaves: 102\nSize of the tree: 188\n','Number of leaves: 93\nSize of the tree: 179\n','Number of leaves: 104\nSize of the tree: 183\n','Number of leaves: 103\nSize of the tree: 184\n','Number of leaves: 101\nSize of the tree: 174\n','Number of leaves: 86\nSize of the tree: 153\n','Number of leaves: 101\nSize of the tree: 183\n','Number of leaves: 109\nSize of the tree: 193\n','Number of leaves: 101\nSize of the tree: 198\n','Number of leaves: 92\nSize of the tree: 171\n','Number of leaves: 106\nSize of the tree: 208\n','Number of leaves: 90\nSize of the tree: 176\n','Number of leaves: 98\nSize of the tree: 183\n','Number of leaves: 104\nSize of the tree: 186\n','Number of leaves: 77\nSize of the tree: 141\n','Number of leaves: 84\nSize of the tree: 149\n','Number of leaves: 97\nSize of the tree: 172\n','Number of leaves: 103\nSize of the tree: 181\n','Number of leaves: 114\nSize of the tree: 203\n','Number of leaves: 80\nSize of the tree: 144\n','Number of leaves: 96\nSize of the tree: 170\n','Number of leaves: 93\nSize of the tree: 167\n','Number of leaves: 88\nSize of the tree: 166\n','Number of leaves: 92\nSize of the tree: 168\n','Number of leaves: 102\nSize of the tree: 179\n','Number of leaves: 98\nSize of the tree: 192\n','Number of leaves: 84\nSize of the tree: 152\n','Number of leaves: 106\nSize of the tree: 187\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 38\nSize of the tree: 75\n','Number of leaves: 35\nSize of the tree: 69\n','Number of leaves: 44\nSize of the tree: 87\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 39\nSize of the tree: 77\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 45\nSize of the tree: 89\n','Number of rules: 61\n','Number of rules: 66\n','Number of rules: 68\n','Number of rules: 67\n','Number of rules: 65\n','Number of rules: 60\n','Number of rules: 63\n','Number of rules: 53\n','Number of rules: 59\n','Number of rules: 57\n','Number of rules: 62\n','Number of rules: 64\n','Number of rules: 56\n','Number of rules: 58\n','Number of rules: 55\n','Number of rules: 70\n','Number of rules: 72\n','Number of rules: 73\n','Number of rules: 71\n','Number of rules: 69\n','Number of rules: 74\n','Number of rules: 75\n','Number of rules: 77\n','Number of rules: 37\n','Number of rules: 41\n','Number of rules: 33\n','Number of rules: 43\n','Number of rules: 28\n','Number of rules: 40\n','Number of rules: 30\n','Number of rules: 34\n','Number of rules: 35\n','Number of rules: 27\n','Number of rules: 36\n','Number of rules: 39\n','Number of rules: 38\n','Number of rules: 26\n','Number of rules: 31\n','Number of rules: 44\n','Number of rules: 29\n','Number of rules: 42\n','Number of rules: 32\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

all-data-pacman,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,40,16,0,71.428571,28.571429,0,0.611111,0.148405,0.345686,40.080174,80.428473,110.29291,8617.312032,-8507.019121,1.969516,153.880572,-151.911056,71.107877,1.269784,64.471848,0.684211,13,0.189189,7,0.810811,30,0.315789,6,0.65,0.684211,0.666667,0.489142,0.805832,0.581961,0.714286,0.112777,0.887223,0.285714,0.757712,0.714286,0.720033,0.622819,0.848938,0.708542,0.730886,0.714286,0,0,0,0,0,0,39204,97518,13224,85.714286,38.392857,'Number of leaves: 81\nSize of the tree: 158\n',158,81,81
all-data-pacman,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,42,14,0,75,25,0,0.661046,0.148118,0.336393,39.926488,78.098831,110.758437,11826.317482,-11715.559045,1.977829,211.184241,-209.206412,72.830085,1.300537,65.755789,0.777778,14,0.157895,6,0.842105,32,0.222222,4,0.7,0.777778,0.736842,0.604187,0.787281,0.6215,0.75,0.095122,0.904878,0.25,0.75395,0.75,0.749627,0.659779,0.838113,0.704343,0.754818,0.75,0,0,0,0,0,0,38760,97518,13224,80.357143,34.821429,'Number of leaves: 80\nSize of the tree: 156\n',156,80,80
all-data-pacman,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,38,18,0,67.857143,32.142857,0,0.567568,0.175424,0.38032,47.293883,88.31096,110.718309,12909.185612,-12798.467303,1.977113,230.521172,-228.544059,65.573423,1.170954,59.225455,0.611111,11,0.184211,7,0.815789,31,0.388889,7,0.611111,0.611111,0.611111,0.426901,0.711988,0.570111,0.678571,0.116123,0.883877,0.321429,0.679487,0.678571,0.677507,0.561624,0.808264,0.607665,0.685463,0.678571,0,0,0,0,0,0,38316,97518,13224,78.571429,38.839286,'Number of leaves: 79\nSize of the tree: 154\n',154,79,79
all-data-pacman,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,41,15,0,73.214286,26.785714,0,0.63871,0.13814,0.333995,37.242067,77.554283,110.718309,7544.969714,-7434.251405,1.977113,134.731602,-132.754489,74.881423,1.337168,67.632376,0.611111,11,0.157895,6,0.842105,32,0.388889,7,0.647059,0.611111,0.628571,0.460338,0.793129,0.611161,0.732143,0.100595,0.899405,0.267857,0.742832,0.732143,0.732653,0.636696,0.869283,0.704626,0.743452,0.732143,0.016,0,0.015625,0,15.625,0,42312,97518,13224,83.928571,34.375,'Number of leaves: 88\nSize of the tree: 172\n',172,88,88
all-data-pacman,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,37,19,0,66.071429,33.928571,0,0.541972,0.174252,0.372134,46.97787,86.410352,110.718309,5417.010392,-5306.292083,1.977113,96.732328,-94.755216,63.609548,1.135885,57.451697,0.777778,14,0.131579,5,0.868421,33,0.222222,4,0.736842,0.777778,0.756757,0.637407,0.91886,0.870791,0.660714,0.118096,0.881904,0.339286,0.653934,0.660714,0.656247,0.540402,0.87145,0.699824,0.653059,0.660714,0,0,0,0,0,0,36096,97518,13224,89.285714,39.732143,'Number of leaves: 74\nSize of the tree: 144\n',144,74,74
all-data-pacman,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,41,15,0,73.214286,26.785714,0,0.636992,0.137984,0.331481,37.200123,76.970587,110.718309,7544.76803,-7434.049721,1.977113,134.728001,-132.750888,74.615259,1.332415,67.391978,0.722222,13,0.184211,7,0.815789,31,0.277778,5,0.65,0.722222,0.684211,0.524389,0.83114,0.647757,0.732143,0.104061,0.895939,0.267857,0.747619,0.732143,0.735604,0.637676,0.86793,0.724009,0.747701,0.732143,0.015,0,0.015625,0,15.625,0,39648,97518,13224,87.5,38.392857,'Number of leaves: 82\nSize of the tree: 160\n',160,82,82
all-data-pacman,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,35,21,0,62.5,37.5,0,0.494845,0.188208,0.390576,50.696989,90.605449,110.98095,11840.611713,-11729.630763,1.981803,211.439495,-209.457692,61.634224,1.100611,55.535859,0.555556,10,0.210526,8,0.789474,30,0.444444,8,0.555556,0.555556,0.555556,0.345029,0.694444,0.500897,0.625,0.136795,0.863205,0.375,0.634524,0.625,0.627783,0.492808,0.809961,0.607093,0.636641,0.625,0,0,0,0,0,0,38316,97518,13224,80.357143,36.160714,'Number of leaves: 79\nSize of the tree: 154\n',154,79,79
all-data-pacman,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,40,16,0,71.428571,28.571429,0,0.61346,0.15366,0.337696,41.390764,78.338335,110.98095,8616.196858,-8505.215908,1.981803,153.860658,-151.878856,70.57932,1.260345,63.595887,0.722222,13,0.184211,7,0.815789,31,0.277778,5,0.65,0.722222,0.684211,0.524389,0.873538,0.661706,0.714286,0.10727,0.89273,0.285714,0.7196,0.714286,0.714403,0.612094,0.855498,0.71315,0.719302,0.714286,0.016,0,0.015625,0,15.625,0,38316,97518,13224,85.714286,39.732143,'Number of leaves: 79\nSize of the tree: 154\n',154,79,79
all-data-pacman,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,503,55,43,12,0,78.181818,21.818182,0,0.705882,0.133743,0.298254,36.071308,69.28669,108.656475,3256.575076,-3147.9186,1.975572,59.210456,-57.234884,75.761827,1.377488,69.726012,0.777778,14,0.108108,4,0.891892,33,0.222222,4,0.777778,0.777778,0.777778,0.66967,0.903904,0.751112,0.781818,0.078238,0.921762,0.218182,0.780303,0.781818,0.780458,0.702344,0.907364,0.787547,0.784143,0.781818,0,0,0,0,0,0,36984,97707,13035,92.727273,45.454545,'Number of leaves: 76\nSize of the tree: 148\n',148,76,76
all-data-pacman,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,503,55,33,22,0,60,40,0,0.466725,0.204831,0.423198,55.244468,98.31219,108.656475,16134.375407,-16025.718932,1.975572,293.35228,-291.376708,54.909789,0.99836,50.53522,0.666667,12,0.081081,3,0.918919,34,0.333333,6,0.8,0.666667,0.727273,0.616953,0.804805,0.640987,0.6,0.124804,0.875196,0.4,0.607816,0.6,0.592606,0.472213,0.757055,0.52482,0.58159,0.6,0,0,0,0,0,0,37428,97707,13035,70.909091,35,'Number of leaves: 77\nSize of the tree: 150\n',150,77,77
all-data-pacman,2,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,40,16,0,71.428571,28.571429,0,0.616766,0.168157,0.34852,45.328211,80.914207,110.758437,8617.569962,-8506.811525,1.977829,153.885178,-151.907349,68.283941,1.219356,61.651232,0.611111,11,0.078947,3,0.921053,35,0.388889,7,0.785714,0.611111,0.6875,0.573964,0.839912,0.6703,0.714286,0.097847,0.902153,0.285714,0.733107,0.714286,0.71486,0.622211,0.848301,0.69255,0.720089,0.714286,0,0,0,0,0,0,37428,97518,13224,85.714286,41.964286,'Number of leaves: 77\nSize of the tree: 150\n',150,77,77
all-data-pacman,2,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,44,12,0,78.571429,21.428571,0,0.707572,0.128558,0.326145,34.720015,75.882058,110.29291,8612.272942,-8501.980032,1.969516,153.790588,-151.821072,77.7717,1.38878,70.51378,0.789474,15,0.189189,7,0.810811,30,0.210526,4,0.681818,0.789474,0.731707,0.581948,0.807255,0.599465,0.785714,0.090149,0.909851,0.214286,0.79865,0.785714,0.784814,0.705403,0.850136,0.685948,0.795721,0.785714,0,0,0,0,0,0,41868,97518,13224,83.928571,35.267857,'Number of leaves: 87\nSize of the tree: 170\n',170,87,87
all-data-pacman,2,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,37,19,0,66.071429,33.928571,0,0.546848,0.180375,0.374275,48.62862,86.907346,110.718309,10768.978953,-10658.260644,1.977113,192.303196,-190.326083,64.187173,1.1462,57.973404,0.555556,10,0.131579,5,0.868421,33,0.444444,8,0.666667,0.555556,0.606061,0.447129,0.839181,0.764876,0.660714,0.114995,0.885005,0.339286,0.672925,0.660714,0.65038,0.545327,0.822787,0.654606,0.656977,0.660714,0.015,0,0.015625,0,15.625,0,34764,97518,13224,82.142857,41.071429,'Number of leaves: 71\nSize of the tree: 138\n',138,71,71
all-data-pacman,2,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20220305.1328,502,56,37,19,0,66.071429,33.928571,0,0.535777,0.169937,0.376108,45.814586,87.333131,110.718309,9698.559057,-9587.840748,1.977113,173.188555,-171.211442,65.1176,1.162814,58.813759,0.722222,13,0.289474,11,0.710526,27,0.277778,5,0.541667,0.722222,0.619048,0.408397,0.790205,0.601487,0.660714,0.137416,0.862584,0.339286,0.686756,0.660714,0.664705,0.542566,0.831668,0.663691,0.672819,0.660714,0,0,0,0,0,0,39204,97518,13224,82.142857,37.053571,'Number of leaves: 81\nSize of the tree: 158\n',158,81,81
